s1_azi,s1_ele,s2_azi,s2_ele
185,34,222,38
188,36,222,38
183,37,222,38
185,34,222,38
186,42,217,38
182,21,224,41
181,26,229,44
182,27,229,49
181,18,225,44
181,19,224,41
181,26,220,46
189,33,229,44
181,18,229,44
181,26,221,42
181,11,225,46
184,21,224,41
181,18,224,41
188,36,229,49
182,27,229,44
181,3,222,38
181,26,225,44
182,21,225,46
180,30,229,42
181,26,227,51
184,21,227,39
184,30,233,51
189,28,229,42
181,26,229,49
181,11,224,41
181,19,224,41
186,30,229,49
181,3,20,46
182,21,225,46
181,18,225,44
180,30,233,47
181,18,225,46
181,26,229,44
185,25,229,42
181,3,221,42
181,26,229,42
180,14,220,46
181,18,220,46
181,18,224,41
181,26,229,42
180,30,229,49
184,21,225,44
186,18,227,49
182,27,225,46
181,18,225,44
