s1_azi,s1_ele,s2_azi,s2_ele
184,21,221,33
182,27,221,33
181,18,224,37
181,18,227,39
181,18,224,37
180,14,221,33
181,18,224,37
181,18,227,39
181,18,220,46
180,14,224,37
181,18,224,37
181,18,224,37
181,18,224,37
181,18,224,37
181,18,224,37
180,14,219,34
180,14,217,38
181,18,227,39
181,18,227,39
180,14,227,39
181,18,227,39
182,12,227,39
180,14,224,37
181,18,224,37
181,11,224,37
180,14,224,37
181,18,224,37
181,11,224,37
181,18,227,39
181,18,224,37
181,18,224,37
181,18,227,39
181,18,224,37
181,18,219,41
181,18,224,37
181,18,224,37
181,18,216,44
180,14,224,37
181,18,224,41
181,18,224,37
181,18,224,37
180,14,224,37
182,16,227,39
181,11,224,37
180,14,224,37
181,18,227,39
180,14,227,39
181,18,224,41
180,14,224,41
