s1_azi,s1_ele,s2_azi,s2_ele
184,38,224,37
180,30,222,36
182,16,227,39
181,18,227,39
181,18,227,39
181,18,227,39
180,14,224,41
181,18,227,39
180,14,224,41
182,16,227,39
180,14,224,41
180,14,224,41
180,14,221,42
181,18,224,41
181,11,224,37
181,3,224,37
181,26,229,42
181,11,224,41
180,14,227,39
181,18,224,41
181,18,227,39
181,18,227,39
180,14,224,37
181,18,224,41
181,18,224,41
180,14,220,46
181,11,224,37
181,18,224,41
180,14,224,41
181,11,224,37
181,19,227,39
181,19,229,42
181,18,229,42
181,18,225,44
181,18,224,37
181,18,225,44
181,26,225,44
181,18,229,42
181,18,227,39
181,18,224,37
181,18,227,39
181,18,222,38
181,33,270,86
180,14,224,41
181,18,227,39
181,18,225,44
181,18,227,39
180,14,221,42
181,18,225,44
