s1_azi,s1_ele
0,14
0,14
1,18
1,18
1,18
1,18
1,18
0,14
0,14
1,18
1,18
1,18
1,18
1,18
1,18
0,14
1,18
1,18
1,18
0,14
1,18
0,14
1,18
1,18
0,14
0,14
1,18
0,14
1,18
1,18
1,18
0,14
1,18
0,14
1,18
0,14
1,18
0,14
0,14
0,14
1,18
1,18
1,18
0,14
1,18
1,18
1,18
0,14
0,14
