s1_azi,s1_ele,s2_azi,s2_ele,s3_azi,s3_ele
0,30,45,44,110,78
4,38,171,64,74,46
2,16,39,41,62,55
4,30,45,44,135,83
1,26,45,44,87,32
8,36,49,44,90,66
2,1,39,41,72,50
1,26,44,41,84,56
2,27,45,44,91,23
1,33,49,44,92,1
1,33,66,40,95,3
1,26,45,44,88,8
2,27,44,41,93,69
0,30,40,52,91,23
6,33,49,44,93,14
8,36,49,49,84,60
1,26,42,49,88,5
6,30,49,44,91,17
2,27,45,44,80,71
3,0,19,31,53,47
6,30,49,44,92,61
2,16,17,42,91,38
0,30,47,49,87,40
1,11,36,44,72,54
1,11,39,34,49,42
0,30,45,44,135,83
1,33,58,60,95,3
4,30,52,54,92,25
1,3,33,40,64,58
1,26,47,51,97,72
9,33,49,42,132,80
1,33,42,49,162,82
2,38,74,38,167,77
2,1,44,41,96,23
6,31,49,44,91,23
1,3,22,42,95,3
1,26,44,41,87,28
2,27,45,44,93,69
2,27,49,42,84,60
1,33,49,49,87,36
1,26,49,42,92,6
1,33,47,49,136,83
2,27,49,44,88,19
5,34,64,58,97,13
4,30,49,44,90,74
2,1,41,42,94,6
1,26,45,44,88,19
1,33,45,55,92,1
1,33,47,51,126,77
