s1_azi,s1_ele,s2_azi,s2_ele,s3_azi,s3_ele
1,26,49,42,87,44
4,38,78,49,91,46
0,30,72,50,91,38
2,27,49,42,90,50
1,26,49,42,135,83
1,26,53,47,90,50
1,24,55,43,90,50
1,18,40,46,85,48
1,26,49,49,90,50
1,18,47,39,90,42
1,18,44,41,85,44
1,26,55,50,90,50
1,18,41,42,84,60
1,18,44,41,90,50
4,30,47,39,90,50
1,18,47,39,85,52
0,14,44,37,90,50
4,21,49,42,90,50
2,21,44,41,90,50
0,14,1,33,72,50
2,21,44,41,90,50
0,30,49,42,92,25
1,26,47,39,85,48
1,18,47,39,91,46
1,19,49,42,90,50
1,18,47,39,90,50
1,26,49,49,90,50
1,18,44,37,85,52
1,18,44,41,90,82
1,18,41,42,90,50
1,24,49,42,90,50
1,26,45,44,90,50
0,30,51,52,90,50
1,18,47,39,90,42
1,18,47,39,90,50
1,24,49,42,90,50
1,18,44,41,90,50
1,18,36,52,87,44
1,26,47,39,87,47
1,18,45,44,90,50
1,18,49,42,90,50
1,18,44,37,86,36
1,24,40,46,85,48
1,18,40,46,85,48
1,24,44,37,83,52
1,26,53,47,91,38
1,24,47,39,90,50
0,14,44,37,78,49
1,24,45,44,90,50
