s1_azi,s1_ele,s2_azi,s2_ele,s3_azi,s3_ele
181,26,227,39,267,44
181,24,224,37,270,50
182,21,224,37,271,45
181,18,224,37,265,48
181,18,224,37,265,48
184,21,224,37,270,50
180,14,227,39,270,50
181,18,224,37,270,50
182,21,224,37,271,46
181,24,224,37,270,50
181,18,227,39,270,50
182,21,229,42,271,46
181,26,224,37,271,45
182,21,224,37,265,52
181,18,224,37,263,52
181,18,224,37,265,52
181,26,224,37,270,50
182,21,224,37,270,50
182,21,227,39,270,50
181,18,224,37,270,50
182,21,224,37,265,48
181,18,225,46,270,50
181,18,224,41,270,50
181,24,224,37,265,44
181,18,220,46,265,44
181,24,224,37,270,50
181,18,226,34,265,48
182,21,224,37,267,44
184,21,224,37,265,48
181,18,222,36,265,48
181,18,224,37,271,45
181,18,224,37,270,50
182,21,224,37,270,50
181,18,224,37,270,50
182,21,224,37,270,50
181,18,224,37,270,50
181,18,224,37,270,50
181,24,227,39,271,38
181,24,227,39,264,44
182,21,227,39,270,50
181,18,224,37,265,48
180,14,222,38,265,48
181,18,225,46,265,48
182,21,224,37,270,50
181,18,224,37,265,48
181,18,226,34,265,48
182,21,224,37,270,50
181,19,224,37,265,48
184,21,227,39,270,50
