s1_azi,s1_ele,s2_azi,s2_ele,s3_azi,s3_ele
181,26,229,42,267,44
184,38,258,49,271,46
180,30,252,50,271,38
182,27,229,42,270,50
181,26,229,42,315,83
181,26,233,47,270,50
181,24,235,43,270,50
181,18,220,46,265,48
181,26,229,49,270,50
181,18,227,39,270,42
181,18,224,41,265,44
181,26,235,50,270,50
181,18,221,42,264,60
181,18,224,41,270,50
184,30,227,39,270,50
181,18,227,39,265,52
180,14,224,37,270,50
184,21,229,42,270,50
182,21,224,41,270,50
180,14,181,33,252,50
182,21,224,41,270,50
180,30,229,42,272,25
181,26,227,39,265,48
181,18,227,39,271,46
181,19,229,42,270,50
181,18,227,39,270,50
181,26,229,49,270,50
181,18,224,37,265,52
181,18,224,41,270,82
181,18,221,42,270,50
181,24,229,42,270,50
181,26,225,44,270,50
180,30,231,52,270,50
181,18,227,39,270,42
181,18,227,39,270,50
181,24,229,42,270,50
181,18,224,41,270,50
181,18,216,52,267,44
181,26,227,39,267,47
181,18,225,44,270,50
181,18,229,42,270,50
181,18,224,37,266,36
181,24,220,46,265,48
181,18,220,46,265,48
181,24,224,37,263,52
181,26,233,47,271,38
181,24,227,39,270,50
180,14,224,37,258,49
181,24,225,44,270,50
