s1_azi,s1_ele
180,14
180,14
181,18
181,18
181,18
181,18
181,18
180,14
180,14
181,18
181,18
181,18
181,18
181,18
181,18
180,14
181,18
181,18
181,18
180,14
181,18
180,14
181,18
181,18
180,14
180,14
181,18
180,14
181,18
181,18
181,18
180,14
181,18
180,14
181,18
180,14
181,18
180,14
180,14
180,14
181,18
181,18
181,18
180,14
181,18
181,18
181,18
180,14
180,14
